"age.metadata","genename","measurement","percent"
11,"FABP7",0.15873088989779,0.0367921329264157
12,"FABP7",0.615261690548032,0.0870227172563003
13,"FABP7",0.277648199971978,0.0490136061138648
14,"FABP7",0.111339169440728,0.0258377824622234
15,"FABP7",0,0.0169195286316624
16,"FABP7",0.330933123405127,0.0367217009869623
17,"FABP7",0.39021546271255,0.0448006179395578
18,"FABP7",0.72435354422263,0.0737523005304753
19,"FABP7",0.377394662649919,0.0611771527979124
20,"FABP7",0.636636125493088,0.0783247956829469
21,"FABP7",0.461116599549206,0.0534898891063275
22,"FABP7",1,0.151097524305904
23,"FABP7",0.778070995242505,0.0808935028578094
11,"KIT",0,0.0371877472589578
12,"KIT",0.0317093129229392,0.0588164589927481
13,"KIT",0.258406778142681,0.215762554552815
14,"KIT",0.513332776825687,0.308703875174846
15,"KIT",0.46433561345109,0.21629608274172
16,"KIT",0.607112078294301,0.232636773486048
17,"KIT",0.380851921313909,0.166602297962731
18,"KIT",0.454081848793841,0.230837934394284
19,"KIT",0.376702657843685,0.174833285010148
20,"KIT",0.462521877979631,0.212567942752121
21,"KIT",0.329003838973143,0.176125244618395
22,"KIT",0.993636116002185,0.30760749724366
23,"KIT",1,0.338562930129476
11,"PROM1",0.766379475470002,0.0474737199050526
12,"PROM1",0.655947945261106,0.0406266276693778
13,"PROM1",0.175698863337367,0.0128162088508857
14,"PROM1",0.120940563666817,0.0109143206130932
15,"PROM1",0,0.00558578687520271
16,"PROM1",0.63422700641591,0.0350310710369197
17,"PROM1",0.255664986776132,0.00627594863377426
18,"PROM1",0.678910291782753,0.0295821154054347
19,"PROM1",0.499227117117101,0.0228327051319223
20,"PROM1",0.816614144830239,0.0332381808939115
21,"PROM1",0.220284216769394,0.011252446183953
22,"PROM1",1,0.0558284053322642
23,"PROM1",0.864457465457,0.0373848127843229
11,"PECAM1",0.0789495332522951,0.0678195998643608
12,"PECAM1",0.317189627937029,0.117913377939821
13,"PECAM1",0,0.0466438910720986
14,"PECAM1",0.244738116560425,0.0935991646801553
15,"PECAM1",0.130911640750947,0.0788857256117338
16,"PECAM1",0.278981786525879,0.100996100889485
17,"PECAM1",0.169650946838218,0.0843873708602877
18,"PECAM1",1,0.216980621413879
19,"PECAM1",0.252860393346087,0.0868730066685996
20,"PECAM1",0.452916591581195,0.123724240409807
21,"PECAM1",0.578913638257059,0.144705370732768
22,"PECAM1",0.646807843861259,0.166633256489927
23,"PECAM1",0.490791047052857,0.12341070803686
11,"CD44",0.00883458224202525,0.104781281790437
12,"CD44",0,0.0886654112744902
